1|de|aurikulär
2|en|otic
3|en|auricular
4|fr|auriculaire
5|de|buccal
6|en|buccal
7|fr|buccale
8|de|dermal
9|en|topical (household)
10|en|topical (hospital/hc facilities)
11|en|topical
12|en|dermal
13|fr|cutanée
14|de|dental
15|en|dental
16|fr|dentaire
17|de|intraduktal
18|en|intraductal
19|fr|endocanalaire
20|de|endozervikal
21|en|endocervical
22|fr|endocervicale
23|de|endosinusal
24|en|endosinusale
25|fr|endosinusale
26|de|endotracheobronchial
27|en|intrapulmonary
28|en|endotracheobronchial
29|fr|endotrachéobronchique
30|de|gastral
31|en|gastric
32|fr|gastrique
33|de|gastroenteral
34|en|gastro-enteral
35|fr|gastro-entérale
36|de|gingival
37|en|gingival
38|fr|gingivale
39|de|hämodialyse
40|en|dialysis
41|en|hemodialysis
42|fr|hémodialyse
43|de|hämofiltration
44|en|hemofiltration
45|fr|hémofiltration
46|de|implantation
47|en|implant
48|en|implantation
49|fr|implantation
50|de|infiltration
51|en|block/infiltration
52|en|infiltration
53|fr|infiltration
54|de|inhalativ
55|en|inhalation
56|en|inhaled
57|fr|inhalée
58|de|intestinal
59|en|intestinal
60|fr|intestinale
61|de|intraartikulär
62|en|intra-articular
63|fr|intra-articulaire
64|de|intraarteriell
65|en|intravascular
66|en|intra-arterial
67|fr|intra-artérielle
68|de|intragingival
69|en|intra-gingival
70|fr|intra-gingivale
71|de|intramural
72|en|intramural
73|fr|intra-murale
74|de|intraokulär
75|en|intraocular
76|fr|intra-oculaire
77|de|intrauterin
78|en|intrauterine
79|fr|intra-utérine
80|de|intrabursal
81|en|intrabursal
82|fr|intrabursale
83|de|intrakardial
84|en|intracardiac
85|fr|intracardiaque
86|de|intrakavernal
87|en|intracavernosal
88|en|intracavernous
89|fr|intracaverneuse
90|de|intrazervikal
91|en|intracervical
92|fr|intracervicale
93|de|intrazisternal
94|en|intracisternal
95|fr|intracisternale
96|de|intrakoronär
97|en|intracoronary
98|fr|intracoronaire
99|de|intradermal
100|en|intradermal
101|fr|intradermique
102|de|intradiskal
103|en|intradiscal
104|fr|intradiscale
105|de|intradural
106|en|intradural
107|fr|intradurale
108|de|intralymphatisch
109|en|intraganglional
110|en|intralymphatic
111|fr|intralymphatique
112|de|intraläsional
113|en|intralesional
114|fr|intralésionnelle
115|de|intramuskulär
116|en|intramuscular
117|fr|intramusculaire
118|de|interpleural
119|en|intrapleural
120|fr|intrapleurale
121|de|intraperikardial
122|en|intrapericardial
123|fr|intrapéricardiaque
124|de|intraperitoneal
125|en|intraperitoneal
126|fr|intrapéritonéale
127|de|intraseral
128|en|intraseral
129|fr|intraséreuse
130|de|intrathekal
131|en|intrathecal
132|fr|intrathécale
133|de|intratumoral
134|en|intratumoral
135|fr|intratumorale
136|de|intravenös
137|en|intravenous
138|fr|intraveineuse
139|de|intraventrikulär (Gehirn)
140|en|intraventricular (cerebral)
141|fr|intraventriculaire cérébrale
142|de|intravitreal
143|en|intravitreal
144|fr|intravitréenne
145|de|intravesikal
146|en|intravesical
147|fr|intravésicale
148|nasal|nasal
149|en|nasal
150|fr|nasale
151|de|opthalmisch
152|en|ophthalmic
153|fr|ophtalmique
154|de|oral
155|en|oral
156|fr|orale
157|de|oropharyngeal
158|en|oropharyngeal
159|fr|oropharyngée
160|de|periartikulär
161|en|periarticular
162|fr|périarticulaire
163|de|peribulbär
164|en|peribulbar
165|fr|péribulbaire
166|de|epidural
167|en|epidural
168|fr|péridurale
169|de|perineural
170|en|perineural
171|fr|périneurale
172|de|periokulär
173|en|periocular
174|fr|périoculaire
175|de|rektal
176|en|rectal
177|fr|rectale
178|de|subkutan
179|en|subcutaneous
180|fr|sous-cutanée
181|de|sublingual
182|en|sublingual
183|fr|sublinguale
184|de|transdermal
185|en|transdermal
186|fr|transdermique
187|de|urethral
188|en|urethral
189|fr|urétrale
190|de|vaginal
191|en|vaginal
192|fr|vaginale
193|de|anderweitig extrakorporal
194|en|other extra-corporal
195|fr|voie extra corporelle autre
196|de|anderweitig parenteral
197|en|parenteral (unspecified)
198|en|other parenteral
199|fr|voie parentérale autre
200|de|epiläsional
201|en|epilesional
202|fr|épilésionnelle
203|de|perkutan
204|en|percutaneous
205|fr|percutanée
206|de|intratendinös
207|en|intratendinous
208|fr|intratendineuse
209|de|nicht zugeordnet
210|en|unassigned
211|en|0-unassigned
212|fr|Non assigné
213|de|Französisch therapeutischen database
214|en|French therapeutic database
215|fr|Base de données thérapeutiques française
216|xx|AMM active ; Procédure nationale
217|xx|AMM abrogée ; Procédure nationale
218|xx|AMM active ; Procédure centralisée
219|xx|AMM retirée ; Procédure centralisée
220|xx|AMM active ; Procédure décentralisée
221|xx|AMM active ; Procédure de reconnaissance mutuelle
222|xx|AMM abrogée ; Procédure de reconnaissance mutuelle
223|xx|AMM abrogée ; Procédure centralisée
224|xx|AMM retirée ; Procédure nationale
