1|1|1|17 B ESTRADIOL BESINS-ISCOVESCO 0,06 POUR CENT, gel pour application cutanée en tube|||1|0|||
2|2|1|5-MONONITRATE D'ISOSORBIDE ETHYPHARM LP 20 mg, gélule à libération prolongée|||1|0|||
3|3|1|5-MONONITRATE D'ISOSORBIDE ETHYPHARM LP 40 mg, gélule à libération prolongée|||1|0|||
4|4|1|5-MONONITRATE D'ISOSORBIDE ETHYPHARM LP 60 mg, gélule à libération prolongée|||1|0|||
5|5|1|A 313 200 000 UI POUR CENT, pommade|||1|1||0169560|
6|6|1|A 313 50 000 U.I., capsule molle|||1|1|||
7|7|1|A B I, émulsion pour application locale|||1|0|||
8|8|1|ABBOTICINE 200 mg/5 ml, granulés pour suspension buvable|||1|1||0176672|
9|9|1|ABCYS, poudre et solution auriculaire|||1|0|||
10|10|1|ABELCET 5 mg/ml, suspension à diluer pour perfusion|||1|1||0165118|
11|11|1|ABELITE, comprimé à croquer|||1|0|||
12|12|1|ABELITE, poudre pour suspension buvable|||1|0|||
13|13|1|ABELITE, suspension buvable en sachet|||1|0|||
14|14|1|ABEREL 0,025 POUR CENT, gel pour application cutanée|||1|0|||
15|15|1|ABEREL 0,05 POUR CENT (0,7 mg/1,4 ml), compresse imprégnée|||1|0|||
16|16|1|ABEREL 0,1 POUR CENT, solution pour application cutanée|||1|0|||
17|17|1|ABILIFY 1 mg/ml, solution buvable|||1|0|||
18|18|1|ABILIFY 10 mg, comprimé|||1|1|||
19|19|1|ABILIFY 10 mg, comprimé orodispersible|||1|1|||
20|20|1|ABILIFY 15 mg, comprimé|||1|1|||
21|21|1|ABILIFY 15 mg, comprimé orodispersible|||1|1|||
22|22|1|ABILIFY 30 mg, comprimé|||1|0|||
23|23|1|ABILIFY 30 mg, comprimé orodispersible|||1|0|||
24|24|1|ABILIFY 5 mg, comprimé|||1|1|||
25|25|1|ABILIFY 5 mg, comprimé orodispersible|||1|0|||
26|26|1|ABILIFY 7,5 mg/ml, solution injectable|||1|1|||
27|27|1|ABRAXANE 5 mg/ml, poudre pour suspension injectable pour perfusion|||1|1|||
28|28|1|ABSEAMED 1000 UI/0,5 ml, solution injectable en seringue pré-remplie|||1|0|||
29|29|1|ABSEAMED 10000 UI/1 ml, solution injectable en seringue pré-remplie|||1|0|||
30|30|1|ABSEAMED 2000 UI/1 ml, solution injectable en seringue pré-remplie|||1|0|||
31|31|1|ABSEAMED 3000 UI/0,3 ml, solution injectable en seringue pré-remplie|||1|0|||
32|32|1|ABSEAMED 4000 UI/0,4 ml, solution injectable en seringue pré-remplie|||1|0|||
33|33|1|ABSEAMED 5000 UI/0,5 ml, solution injectable en seringue pré-remplie|||1|0|||
34|34|1|ABSEAMED 6000 UI/0,6 ml, solution injectable en seringue pré-remplie|||1|0|||
35|35|1|ABSEAMED 8000 UI/0,8 ml, solution injectable en seringue pré-remplie|||1|0|||
36|36|1|ABSTRAL 100 microgrammes, comprimé sublingual|||1|1||0175742|
37|37|1|ABSTRAL 200 microgrammes, comprimé sublingual|||1|1||0175743|
38|38|1|ABSTRAL 300 microgrammes, comprimé sublingual|||1|1||0175622|
39|39|1|ABSTRAL 400 microgrammes, comprimé sublingual|||1|1||0175621|
40|40|1|ABSTRAL 50 microgrammes, comprimé sublingual|||1|0||0156291|
41|41|1|ABSTRAL 600 microgrammes, comprimé sublingual|||1|1||0175619|
42|42|1|ABSTRAL 800 microgrammes, comprimé sublingual|||1|1||0175620|
43|43|1|ABUFENE 400 mg, comprimé|||1|1||0122562|
44|44|1|ACADIONE 250 mg, comprimé dragéifié|||1|1|||
45|45|1|ACAL, solution buvable en flacon|||1|0|||
46|46|1|ACARBOSE ARROW 100 mg, comprimé|||1|0||0181290|
47|47|1|ACARBOSE ARROW 50 mg, comprimé|||1|0||0181232|
48|48|1|ACARBOSE BAYER 100 mg, comprimé sécable|||1|0|||
49|49|1|ACARBOSE BAYER 50 mg, comprimé|||1|0|||
50|50|1|ACARBOSE BIOGARAN 100 mg, comprimé sécable|||1|1||0162711|
51|51|1|ACARBOSE BIOGARAN 50 mg, comprimé|||1|1||0158779|
52|52|1|ACARBOSE SET 100 mg, comprimé sécable|||1|0||0160427|
53|53|1|ACARBOSE SET 50 mg, comprimé|||1|0||0160422|
54|54|1|ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration|||1|1||0180482|
55|55|1|ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration|||1|1||0180240|
56|56|1|ACCUSOL 35, solution pour hémofiltration, hémodialyse et hémodiafiltration|||1|1||0180239|
57|57|1|ACEBUTOLOL ALMUS 200 mg, comprimé pelliculé|||1|1||0141058|
58|58|1|ACEBUTOLOL ALMUS 400 mg, comprimé pelliculé|||1|1||0142160|
59|59|1|ACEBUTOLOL ALTER 200 mg, comprimé pelliculé|||1|0||0172018|
60|60|1|ACEBUTOLOL ALTER 400 mg, comprimé pelliculé|||1|0||0171493|
61|61|1|ACEBUTOLOL APOTEX 200 mg, comprimé enrobé|||1|0|||
62|62|1|ACEBUTOLOL APOTEX FRANCE 200 mg, comprimé enrobé|||1|0||0083595|
63|63|1|ACEBUTOLOL ARROW 200 mg, comprimé pelliculé|||1|1||0125040|
64|64|1|ACEBUTOLOL ARROW 400 mg, comprimé pelliculé sécable|||1|1||0125004|
65|65|1|ACEBUTOLOL BIOGALENIQUE 200 mg, comprimé pelliculé|||1|0|||
66|66|1|ACEBUTOLOL BIOGALENIQUE 400 mg, comprimé pelliculé|||1|0|||
67|67|1|ACEBUTOLOL BIOGARAN 200 mg, comprimé pelliculé|||1|1||0124972|
68|68|1|ACEBUTOLOL BIOGARAN 400 mg, comprimé pelliculé|||1|1||0124964|
69|69|1|ACEBUTOLOL CRISTERS 200 mg, comprimé pelliculé|||1|1||0159818|
70|70|1|ACEBUTOLOL CRISTERS 400 mg, comprimé pelliculé|||1|1||0171676|
71|71|1|ACEBUTOLOL EG 200 mg, comprimé pelliculé|||1|1||0165467|
72|72|1|ACEBUTOLOL EG 400 mg, comprimé pelliculé|||1|1||0166966|
73|73|1|ACEBUTOLOL ENIREX 200 mg, comprimé pelliculé|||1|0||0171048|
74|74|1|ACEBUTOLOL ENIREX 400 mg, comprimé pelliculé sécable|||1|0||0171049|
75|75|1|ACEBUTOLOL G GAM 200 mg, comprimé pelliculé|||1|0||0125028|
76|76|1|ACEBUTOLOL G GAM 400 mg, comprimé pelliculé sécable|||1|0||0125045|
77|77|1|ACEBUTOLOL MYLAN 200 mg, comprimé pelliculé|||1|1||0163426|
78|78|1|ACEBUTOLOL MYLAN 400 mg, comprimé pelliculé|||1|1||0166146|
79|79|1|ACEBUTOLOL QUALIMED 200 mg, comprimé pelliculé|||1|1||0166198|
80|80|1|ACEBUTOLOL QUALIMED 400 mg, comprimé pelliculé|||1|1||0163814|
81|81|1|ACEBUTOLOL RANBAXY 200 mg, comprimé pelliculé|||1|1||0165355|
82|82|1|ACEBUTOLOL RANBAXY 400 mg, comprimé pelliculé|||1|1||0154358|
83|83|1|ACEBUTOLOL RATIOPHARM 200 mg, comprimé enrobé|||1|1||0164432|
