1|677|60 mg||100 g||FT|1
1|220|||||SA|1
2|1643|20 mg||une gélule||SA|1
3|1643|40 mg||une gélule||SA|1
4|1643|60 mg||une gélule||SA|1
5|365|200 000 UI||100 g de pommade||SA|1
6|365|50 000 UI||une capsule||SA|1
7|3908|5,450 g||100 g||SA|16
7|3909|1,5 g||100 g||SA|15
7|2193|0,670 g||100 g||SA|14
7|596|6,850 g||100 g||SA|12
7|3910|1,600 g||100 g||SA|11
7|3911|1 g||100 g||SA|8
7|3912|0,702 g||100 g||SA|7
7|1019|0,350 g||100 g||SA|4
7|3913|3,625 g||100 g||SA|2
7|3914|2,3 g||100 g||SA|1
8|1120|200 mg||une cuillère-mesure de 5 ml de suspension buvable reconstituée||FT|1
8|2553|||||SA|1
9|1244|90 000 UI||un flacon||SA|5
9|1245|10 mg||un flacon||SA|4
9|748|100 000 UI||un flacon||SA|3
10|1211|100,00 mg||un flacon||SA|1
11|3024|1,2660 g||un comprimé||SA|1
12|3024|3,8 g||5 g||SA|1
13|3024|3,8 g||13 g||SA|1
14|1124|0,025 g||100 g de gel||SA|1
15|1124|0,70 mg||1,4 ml de solution d'imprégnation||SA|1
16|1124|0,1000 g||100 ml de solution pour application cutanée||SA|1
17|1757|1 mg||1 ml||SA|1
18|1757|10 mg||un comprimé||SA|1
19|1757|10 mg||un comprimé||SA|1
20|1757|15 mg||un comprimé||SA|1
21|1757|15 mg||un comprimé||SA|1
22|1757|30 mg||un comprimé||SA|1
23|1757|30 mg||un comprimé||SA|1
24|1757|5 mg||un comprimé||SA|1
25|1757|5 mg||un comprimé||SA|1
26|1757|7,5 mg||1 ml||SA|1
27|670|100 mg||un flacon||SA|1
28|744|1000 UI||0,5 ml||SA|1
29|744|10000 UI||1 ml||SA|1
30|744|2000 UI||1 ml||SA|1
31|744|3000 UI||0,3 ml||SA|1
32|744|4000 UI||0,4 ml||SA|1
33|744|5000 UI||0,5 ml||SA|1
34|744|6000 UI||0,6 ml||SA|1
35|744|8000 UI||0,8 ml||SA|1
36|94|100 microgrammes||un comprimé||FT|1
36|293|||||SA|1
37|94|200 microgrammes||un comprimé||FT|1
37|293|||||SA|1
38|94|300 microgrammes||un comprimé||FT|1
38|293|||||SA|1
39|94|400 microgrammes||un comprimé||FT|1
39|293|||||SA|1
40|94|50 microgrammes||un comprimé||FT|1
40|293|||||SA|1
41|94|600 microgrammes||un comprimé||FT|1
41|293|||||SA|1
42|94|800 microgrammes||un comprimé||FT|1
42|293|||||SA|1
43|256|400 mg||un comprimé||SA|1
44|1456|250 mg||un comprimé||SA|1
45|596|85,5 g||100 ml||SA|1
46|357|100,00 mg||un comprimé||SA|1
47|357|50,00 mg||un comprimé||SA|1
48|357|100 mg||un comprimé||SA|1
49|357|50 mg||un comprimé||SA|1
50|357|100 mg||un comprimé||SA|1
51|357|50 mg||un comprimé||SA|1
52|357|100 mg||un comprimé||SA|1
53|357|50 mg||un comprimé||SA|1
54|490|12,9 g||1000 ml||SA|8
54|231|1,47 g||1000 ml||SA|5
54|351|0,199 g||1000 ml||SA|4
54|227|7,66 g||1000 ml||SA|3
54|228|0,136 g||1000 ml||SA|2
54|229|0,343 g||1000 ml||SA|1
55|490|12,9||1000 ml||SA|8
55|231|1,47||1000 ml||SA|5
55|351|0,398||1000 ml||SA|4
55|227|7,66||1000 ml||SA|3
55|228|0,136||1000 ml||SA|2
55|229|0,343 g||1000 ml||SA|1
56|490|12,9 g||1000 ml||SA|6
56|227|7,66 g||1000 ml||SA|3
56|228|0,136 g||1000 ml||SA|2
56|229|0,343 g||1000 ml||SA|1
57|137|200 mg||un comprimé||FT|1
57|138|221,65 mg||un comprimé||SA|1
58|137|400 mg||un comprimé||FT|1
58|138|443,30 mg||un comprimé||SA|1
59|137|200,00 mg||un comprimé||FT|1
59|138|221,65 mg||un comprimé||SA|1
60|137|400,00 mg||un comprimé||FT|1
60|138|443,30 mg||un comprimé||SA|1
61|137|200 mg||un comprimé||FT|1
61|138|221,8 mg||un comprimé||SA|1
62|137|200 mg||un comprimé||FT|1
62|138|221,8 mg||un comprimé||SA|1
63|137|200 mg||un comprimé||FT|1
63|138|222 mg||un comprimé||SA|1
64|137|400 mg||un comprimé||FT|1
64|138|444 mg||un comprimé||SA|1
65|137|200 mg||un comprimé||FT|2
65|138|222 mg||un comprimé||SA|2
66|137|400 mg||un comprimé||FT|2
66|138|444 mg||un comprimé||SA|2
67|137|200 mg||un comprimé||FT|1
67|138|221,65 mg||un comprimé||SA|1
68|137|400 mg||un comprimé||FT|1
68|138|443,3 mg||un comprimé||SA|1
69|137|200 mg||un comprimé||FT|1
69|138|222 mg||un comprimé||SA|1
70|137|400 mg||un comprimé||FT|1
70|138|444 mg||un comprimé||SA|1
71|137|200 mg||un comprimé||FT|1
71|138|221,70 mg||un comprimé||SA|1
72|137|400 mg||un comprimé||FT|1
72|138|443,40 mg||un comprimé||SA|1
73|137|200 mg||un comprimé||FT|1
73|138|222 mg||un comprimé||SA|1
74|137|400 mg||un comprimé||FT|1
74|138|444 mg||un comprimé||SA|1
75|137|200 mg||un comprimé||FT|1
75|138|222 mg||un comprimé||SA|1
76|137|400 mg||un comprimé||FT|1
76|138|444 mg||un comprimé||SA|1
77|137|200 mg||un comprimé||FT|1
77|138|221,68 mg||un comprimé||SA|1
78|137|400 mg||un comprimé||FT|1
78|138|443,36 mg||un comprimé||SA|1
79|137|200 mg||un comprimé||FT|1
79|138|221,68 mg||un comprimé||SA|1
80|137|400 mg||un comprimé||FT|1
80|138|443,36 mg||un comprimé||SA|1
81|137|200,00 mg||un comprimé||FT|1
81|2321|221,70 mg||un comprimé||SA|1
82|137|400,00 mg||un comprimé||FT|1
82|2321|443,40 mg||un comprimé||SA|1
83|137|200 mg||un comprimé||FT|1
83|138|221,60 mg||un comprimé||SA|1
84|137|400 mg||un comprimé||FT|1
84|138|443,2 mg||un comprimé||SA|1
85|137|200 mg||un comprimé||FT|1
85|138|221,6 mg||un comprimé||SA|1
86|137|400 mg||un comprimé||FT|1
86|138|443,2 mg||un comprimé||SA|1
87|137|200 mg||un comprimé||FT|1
87|138|221,70 mg||un comprimé||SA|1
88|137|400,00 mg||un comprimé||FT|1
88|138|443,40 mg||un comprimé||SA|1
89|137|200,00 mg||un comprimé||FT|1
89|2321|221,70 mg||un comprimé||SA|1
